,,,,,
text,Thibaut_HS,Naomie_HS,fortune_HS,yolande_HS,GPT_HS
"No wikileakes from Kim Dotcom... nothing... zip... zero And there never will be from this bankrupt wannabe criminal waiting to be extradited to the US. Page 1 Related Threads 1 Mail with questions or comments about this site. ""Godlike Productions"" & ""GLP"" are registered trademarks of Zero Point Ltd. Godlike™ Website Design Copyright © 1999 - 2015 Godlikeproductions.com Page generated in 0.007s (8 queries)",2 (Disrespect),2 (Disrespect),2 (Disrespect),3 (Hostile),2
"WASHINGTON (Reuters) - There has been no evidence of widespread election fraud in the Nov. 8 presidential contest, the White House said on Monday in reaction to U.S. President-elect Donald Trump’s tweet over the weekend alleging millions of illegal votes and fraud in three states.  White House spokesman Josh Earnest, speaking to reporters at a daily briefing, deferred comments on Trump’s specific tweets to the president-elect’s team, but added: “What I can say, as an objective fact, is that there has been no evidence produced to substantiate a claim like that.” ",0 (Neutral),0 (Neutral),1 (Mild),0 (Neutral),0
"October 28, 2016 Let’s Be Clear—A Vote for Warmonger Hillary Clinton Is a Vote for World War 3 
If you want to see war without end, vote for Hillary Clinton. 
It is tremendously ironic that Hillary Clinton and the mainstream media have attempted to portray Donald Trump as “dangerous” and “temperamental” because it is Clinton who actually has a long history of being emotionally unstable. She has a temper that is absolutely legendary, and she has been cussing out the men and women in her security detail for decades. 
Hillary Clinton played a key role in starting the civil war in Syria, thanks to her Libya is a post-apocalyptic wasteland today, and now she is picking a fight with the Russians before she has even won the election. Of all the candidates there were running for president this election cycle, there was nobody that was even close to as dangerous as Hillary Clinton, and if she wins the election, I am fully convinced that World War III will begin before her time in the White House is over. 
Someone that shares this opinion with me is Donald Trump. According to Reuters, Trump recently stated that we are “going to end up in World War III over Syria if we listen to Hillary Clinton”:",3 (Hostile),3 (Hostile),3 (Hostile),4 (Hateful),3
"Part of the problem is that organizations are registering people without  any proof they are legal American citizens .Leaked funding documents reveal an effort by George Soros and his foundations to manipulate election laws and process rules ahead of the federal election far more expansively than has been previously reported.The billionaire and convicted felon moved hundreds of millions of dollars into often-secret efforts to change election laws, fuel litigation to attack election integrity measures, push public narratives about voter fraud, and to integrate the political ground game of the left with efforts to scare racial minority groups about voting rights threats.These Soros-funded efforts moved through dozens of 501(c)(3) and (c)(4) charities and involved the active compliance with civil rights groups, government officials, and purportedly non-partisan groups like the League of Women Voters.The leaked documents also reveal deliberate and successful efforts to manipulate media coverage of election issues in mainstream media outlets like the The New York Times.IF YOU LIVE IN ONE OF THE STATES BELOW, PLEASE DEMAND THAT VOTER ID IS ENACTED: Although some states require some form of ID before voting, California, Illinois, Iowa, Maine, Maryland, Massachusetts, Minnesota, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, Oregon, Pennsylvania, Vermont, West Virginia, Wyoming, and Washington, D.C. all require no identification before voting.Please contact True the Vote for any and all information regarding voter fraud. Via: Info WarsHere s Obama essentially telling illegal aliens it s okay to vote, no one will catch you:",0 (Neutral),2 (Disrespect),1 (Mild),0 (Neutral),3
"Comments 
Throughout this election, Hillary Clinton has been claiming to be a “warrior for women” who will do everything in her power to help victims of sexual assault. That’s why it came as bad news to her when the video above this story surfaced… 
Infowars reported that the video shows child rape victim Kathy Shelton explain how Clinton allowed her rapist to go free when she was his defense lawyer, even thought she knew he was guilty. Afterwards, Clinton was caught on a recording laughing about the fact that she’d just knowingly set a child rapist free. 
“He took a lie detector test,” Clinton said on the recording, according to The American Thinker. “I had him take a polygraph, which he passed, which forever destroyed my faith in polygraphs (laughs).” 
SHARE this story so we can spread Shelton’s story and let people see who Hillary Clinton REALLY is! ",2 (Disrespect),2 (Disrespect),2 (Disrespect),0 (Neutral),2
"Never let an opportunity go to waste. Its the Democrat mantra Whenever a black person dies, no matter what the circumstances, the first and most important question is: How can Al Sharpton turn this into dollars? With the death of funk/pop icon Prince yesterday, you re probably thinking there is no way the race-hustling Reverend can turn the tragedy into social justice (AKA cold hard cash) but you re underestimating his awesome powers of exploitation.The Amsterdam News reports that Al Sharpton will be holding a rally on Saturday at the National Action Network s House of Justice in New York. I m not kidding, he really has a place he calls the  House of Justice.  The original purpose of this rally was to protest the police shooting a black guy who pointed a gun at officers, but with Prince s untimely death, Sharpton has decided to combine faux outrage with a faux tribute.Here s the black guy who was  wronged  by a racist system:Tillman was fatally shot by NYPD officers on Sunday in Ozone Park, Queens. Reports indicate that he was allegedly holding an open alcohol container when officers approached him. Tillman had a gun on his waistband and allegedly ran as they approached him. Police say he reached for the weapon before officers opened fire shooting Tillman in the chest. He was pronounced dead at Jamaica Medical Center.Let s see if I have this correctly: A black guy was carrying an illegal firearm in NYC and violating the city s drinking in public law. When police tried to question him, he resisted arrest and took off. He then took out the illegal firearm and pointed it at officers and they responded by shooting him. In other words, police used appropriate force to deal with a violent life-threatening situation. How exactly is this a case of racial injustice? Oh, because the guy was black. I get it now.I guess it s getting harder and harder for Sharpton to find any real racism to rage against, so he has to work with what he s got.Just in case people have a hard time freaking out over a justified police shooting, Big Al is throwing in a tribute to Prince to get asses in the seats:As the aftermath of the death of singer Prince continues, Sharpton will conduct a special memorial in honor of the legendary entertainer and humanitarian.I wasn t aware there was  aftermath  from Prince s death, but it sure does seem like a shitty tribute to combine this with some bogus racial outrage over a guy who got shot for trying to kill some cops.Really the only question left is: how will Sharpton blame Prince s death on white supremacy? Was there a white conspiracy to kill the singer? Did he die because white EMTs responded slower than they would have if Prince were white? Did a white man give him the flu and force him to take opioids?Via: DownTrend ",0 (Neutral),3 (Hostile),3 (Hostile),1 (Mild),4
"— Steven (@superaielman) October 26, 2016 
Earlier today, GOP vice presidential candidate Mike Pence shared some very sad news with his Twitter followers: Heavy hearts today. Our beagle of 13 years passed away quietly last night. Rest In Peace, Maverick. We will miss you. pic.twitter.com/JPnFvsHB3Y 
— Mike Pence (@mike_pence) October 26, 2016 
But, while many offered their sympathy, this was all Jezebel could muster: An October surprise for Mike Pence's dog: death https://t.co/qxuapnkCM9 pic.twitter.com/GlBYntaJi1",1 (Mild),1 (Mild),1 (Mild),0 (Neutral),1
"KABUL (Reuters) - A top leader of militant group al-Qaeda was killed along with 80 people in a joint military operation by Afghan army, intelligence and NATO-led forces, the South Asian nation s intelligence service said on Tuesday.  Omar Khetab, also known as Omar Mansoor, was the most senior member of his branch of the group killed in Afghanistan, the National Directorate of Security said in a statement.     Security forces also arrested 27 individuals in the operation in the eastern Afghan provinces of Ghazni, Paktia and Zabul, the agency said, without giving further details. ",0 (Neutral),0 (Neutral),1 (Mild),0 (Neutral),0
"MADRID (Reuters) - Support for the creation of an independent state of Catalonia rose to an almost 3-year high in October according to an official regional survey published on Tuesday.  Some 48.7 percent of Catalans believe the Spanish region should be independent, according to the poll from Centre d Estudis d Opinio, up from 41.1 pct in June and the highest since December 2014.  The poll was based on 1,338 interviews taken between Oct. 16 and Oct. 29. ",0 (Neutral),0 (Neutral),1 (Mild),0 (Neutral),0
"Posted on October 31, 2016 by Theodore Shoebat 
A major political leader in France, Francois-Xavier Peron , has declared that France is about to enter into a devastating war against Islam , and its going to be extremely violent. His solution to prepare? Embrace the Christian Faith and never accept the antichrist masonic religion . 
I did an interview with Mr. Peron about this coming war, and why the Christian Faith must be the religion of the world: 
Courtesy of Freedom Outpost 
Theodore Shoebat is the Communications Director for Rescue Christians , an organization that is on the ground in Muslim lands, rescuing Christians from persecution. He is the author of two book, For God or For Tyranny and In Satan’s Footsteps: The Source and Interconnections of all Evil , he also has a DVD series called “Christian Militancy,” which is on Christian warfare and our fight against evil and tyranny. 
Article posted with permission from Shoebat.com Don't forget to follow the D.C. Clothesline on Facebook and Twitter. PLEASE help spread the word by sharing our articles on your favorite social networks. Share this:",3 (Hostile),1 (Mild),2 (Disrespect),1 (Mild),3
